Módulo,Función,Propósito,Algoritmo,Costo real,Big O
Archivo (persistencia),abrirArchivo(nombre modo),Abre uno de los archivos binarios de datos en el modo indicado.,Llamada directa a fopen,1 operación de E/S,O(1)
Archivo (persistencia),cerrarArchivo(fp),Cierra un archivo binario previamente abierto.,Llamada directa a fclose,1 operación de E/S,O(1)
Archivo (persistencia),calcularOffset(posicion tamRegistro),Calcula la posición en bytes de un registro dentro de un archivo de tamaño fijo.,Multiplicación directa,1 operación,O(1)
Archivo (persistencia),leerRegistroEnOffset(fp offset destino),Lee un único registro desde una posición conocida del archivo.,fseek más fread de un registro de tamaño fijo,1 operación de E/S,O(1)
Archivo (persistencia),escribirRegistroEnOffset(fp offset registro),Escribe un único registro en una posición conocida del archivo.,fseek más fwrite de un registro de tamaño fijo,1 operación de E/S,O(1)
Archivo (persistencia),agregarRegistroAlFinal(fp registro),Agrega un registro nuevo al final del archivo y devuelve su offset.,fseek al final más fwrite,1 operación de E/S,O(1)
Archivo (persistencia),contarRegistros(fp tamRegistro),Calcula cuántos registros contiene un archivo a partir de su tamaño.,ftell sobre el tamaño del archivo dividido entre el tamaño del struct,1 operación,O(1)
Archivo (persistencia),purgarInactivos(),Reconstruye los tres archivos de datos eliminando de forma definitiva los registros inactivos y reconstruye los mapas.,Recorrido secuencial de n registros reescritura de los activos (a <= n) y reconstrucción de 3 mapas,n + a + n log n,O(n log n)
Mapas de posiciones (RAM),cargarMapaDePosiciones(),Carga o reconstruye el mapa de carné en memoria al iniciar el sistema.,Lectura secuencial del archivo .idx o reconstrucción desde los archivos de datos,n,O(n)
Mapas de posiciones (RAM),buscarPosicionPorCarne(carne),Ubica dentro del mapa la posición de un registro a partir de su carné.,Binaria en zona ordenada lineal en lista de recién ingresados si no hay coincidencia,log n + k,"O(log n) + O(k)"
Mapas de posiciones (RAM),registrarPosicionEnMapa(carne posicion),Agrega una nueva entrada al mapa sin reordenar la zona ordenada.,Inserción al final de la lista de recién ingresados,1 operación (amortizado),O(1) amortizado
Mapas de posiciones (RAM),fusionarRecienIngresados(),Junta la lista de recién ingresados con la zona ordenada y la deja ordenada de nuevo.,Mezcla ordenada de zona ordenada (n) y lista de recién ingresados (k),(n+k) log(n+k),O(n log n)
Mapas de posiciones (RAM),marcarInactivoEnMapa(carne),Marca en el mapa el estado de un registro como inactivo.,Búsqueda en el mapa más escritura de un campo,log n + 1,O(log n)
Mapas de posiciones (RAM),construirMapaPorCampo(campo),Genera un mapa ordenado por un campo distinto al carné (identificación o apellido).,Copia de n llaves más ordenamiento,n + n log n,O(n log n)
Mapas de posiciones (RAM),buscarPosicionesPorCampo(campo valor),Ubica una o varias posiciones a partir de un valor de un campo secundario.,Binaria en zona ordenada lineal en lista de recién ingresados,log n + k,"O(log n) + O(k)"
Mapas de posiciones (RAM),guardarMapasEnDisco(),Guarda los tres mapas completos en el archivo estudiantes.idx al apagar el sistema.,Escritura secuencial de las n entradas de cada mapa,n,O(n)
Estudiante (lógica de negocio),registrarEstudiante(datos),Agrega un nuevo estudiante: escribe su registro en los tres archivos y lo incorpora al mapa de posiciones.,Inserción en el mapa más escritura de 3 registros de tamaño fijo,1 + 3,O(1) amortizado
Estudiante (lógica de negocio),buscarEstudiantePorCarne(carne),Recupera el expediente (identidad académico y contacto) a partir del carné.,Búsqueda en el mapa más 1 lectura en offset,log n + 1,O(log n)
Estudiante (lógica de negocio),buscarEstudiantePorIdentificacion(id),Igual que la anterior pero usando el número de identificación como llave.,Búsqueda en el mapa de identificación más 1 lectura en offset,log n + 1,O(log n)
Estudiante (lógica de negocio),buscarEstudiantesPorApellido(apellido),Recupera todos los estudiantes que comparten un apellido dado.,Búsqueda en el mapa de apellido más k lecturas de coincidencias,log n + k,"O(log n) + O(k)"
Estudiante (lógica de negocio),modificarEstudiante(carne nuevosDatos),Sobrescribe los campos de un estudiante existente sin cambiar su posición ni su carné.,Búsqueda en el mapa más escritura en offset existente,log n + 1,O(log n)
